C1,C2,C3,ISO,Target
1742,0,427,AU,false
1821,0,124,AU,false
1742,0,508,AU,false
10152,0,548,AU,false
1415,342,843,IS,true
2296,0,97,GB,false
2002,0,258,GB,false
2761,0,42,GB,false
1955,0,477,AU,false
7161,0,686,US,false
1922,245,750,CO,false
3018,0,88,US,false
1592,130,915,CA,false
1374,300,604,CA,false
4089,1071,253,CA,false
2109,849,369,CA,false
3505,1103,747,CA,false
1678,0,874,US,false
1017,0,878,US,false
1860,0,832,US,false
1395,0,900,US,false
713,168,627,CA,false
1321,0,816,US,false
1561,0,861,US,false
1794,441,20,FR,true
1930,0,637,CA,false
871,0,934,US,false
2294,336,19,SK,false
937,0,957,US,false
2087,0,19,US,false
655,154,755,RU,false
789,231,183,RU,false
1351,0,687,US,false
2633,0,401,ES,false
777,0,436,US,false
5735,402,690,NL,false
1411,0,179,AU,false
2849,0,202,AU,true
2149,0,232,AU,false
887,0,589,AU,false
1200,0,116,AU,false
2221,0,904,AU,false
2001,261,134,GB,false
630,0,415,AU,false
1472,0,680,AU,false
1101,0,191,AU,false
3060,261,505,GB,false
1862,0,880,AU,false
803,0,190,AU,false
1946,0,687,AU,false
1051,0,356,HR,false
1176,0,575,RU,false
1031,0,729,AU,true
1054,0,674,AU,false
1606,0,250,AU,false
1009,0,698,EE,false
3400,0,11,AU,false
2305,0,925,AU,false
1706,0,488,AU,false
1793,0,956,AU,false
2465,0,780,AU,false
2718,0,219,AU,false
3188,720,144,GB,false
2017,0,762,AU,false
1890,0,195,AU,false
983,0,840,AU,false
2906,0,215,AU,false
5899,0,532,AU,false
1810,0,167,AU,false
3632,0,392,AU,false
2112,195,942,NO,false
2305,0,382,AU,false
6851,0,779,AU,false
4423,0,371,AU,false
3039,0,45,AU,false
1817,0,521,AU,false
2094,0,490,NO,false
1778,0,629,AU,false
2652,0,547,AU,false
1516,0,739,AU,false
1053,0,125,AU,false
8428,0,727,AU,false
8047,0,690,AU,false
2552,0,564,AU,false
3326,0,507,AU,false
2508,0,561,AU,false
1019,0,103,AU,false
3246,0,921,AU,false
2085,0,569,AU,false
2904,0,529,AU,true
1527,129,939,CA,true
2405,0,90,AU,false
2250,0,260,AU,false
1191,0,139,AU,false
3082,0,312,AU,false
4857,0,684,BA,false
1912,0,181,AU,false
2180,0,291,AU,false
6204,0,902,SE,false
5753,0,532,AU,false
2338,0,996,AU,false
1380,0,134,AU,false
3380,0,592,AU,false
2111,0,41,AU,false
2316,0,467,AU,false
2999,0,495,NZ,true
5129,0,214,AU,false
18137,0,609,AU,false
5383,1695,660,AU,false
6999,0,51,NZ,false
1360,0,39,AU,false
949,0,282,AU,false
6180,399,10,US,false
1383,0,663,AU,false
976,0,504,AU,false
1833,0,616,NO,false
1829,182,177,GR,false
958,0,828,US,false
1593,0,139,US,false
1351,0,196,US,false
477,0,469,US,false
1351,0,148,US,false
10799,4327,593,SK,false
6005,0,937,AU,false
2986,0,481,RU,false
939,65,698,CA,false
4599,0,940,NO,false
1946,0,579,AU,false
3702,0,550,AU,false
6802,0,242,AU,false
2305,0,655,AU,false
2569,0,265,RU,false
691,0,155,AU,false
2591,0,558,AU,false
1935,0,221,AU,false
2476,0,185,AU,false
2560,0,525,AU,true
1629,0,306,AU,false
1824,0,103,AU,false
1725,0,199,AU,false
4395,0,858,AU,false
6123,0,510,AU,false
1524,0,977,AU,false
1917,0,985,AU,false
1403,0,919,AU,false
1236,0,597,AU,false
1069,0,85,AU,false
2257,0,247,NO,false
4029,0,928,AU,false
1273,0,423,AU,false
3148,1060,691,DE,false
1633,0,326,AU,true
1168,0,971,AU,false
1079,0,523,AU,true
1542,0,201,AU,false
2089,0,111,AU,false
5032,0,313,AU,false
2332,0,948,AU,false
2099,0,200,AU,false
2672,0,281,AU,false
1747,0,542,AU,false
1002,0,771,AU,false
2119,0,784,AU,false
1331,0,966,AU,false
5753,0,294,AU,false
952,0,901,NL,false
3026,0,471,AU,false
976,0,854,AU,false
3302,0,992,AU,false
3178,0,171,AU,true
2577,0,322,AU,false
1445,0,575,AU,false
6107,0,39,AU,true
1620,0,577,AU,false
2771,0,607,AU,false
1477,0,350,IS,false
703,0,187,AU,false
1383,0,405,AU,false
12361,0,15,AU,false
5899,0,644,AU,false
3498,0,115,AU,false
1390,0,389,AU,false
1033,0,352,AU,false
1747,0,205,AU,false
1654,0,719,AU,false
1508,0,816,AU,false
1588,0,35,AU,false
3126,0,329,AU,false
4319,0,934,AU,true
1560,0,795,AU,false
2298,0,701,AU,false
1650,136,173,IL,false
2268,0,979,AU,true
3588,0,57,AU,false
3126,0,275,AU,false
4430,0,721,AU,false
1556,0,217,AU,false
2456,0,647,AU,false
4594,0,348,AU,false
3454,0,799,AU,false
6856,0,45,AU,false
4765,0,674,AU,false
